Project,Group,File (.java),Method/Field,Line,Warning,Source,Reason
jsoup,Experimental,HtmlTreeBuilder,getHeadElement,794,False positive,IDE,Null return from unannotated method
jsoup,Experimental,HtmlTreeBuilder,lastFormattingElement,885,False positive,IDE,Null return from unannotated method
jsoup,Experimental,HtmlTreeBuilder,removeLastFormattingElement,901,False positive,IDE,Null return from unannotated method
jsoup,Experimental,HtmlTreeBuilderState,inBodyEndTag,682,Uncertain,NA,Passing nullable to non-null
jsoup,Experimental,HtmlTreeBuilderState,inBodyEndTag,700,False positive,NA,Passing nullable to unannotated code
jsoup,Experimental,HtmlTreeBuilderState,anyOtherEndTag,803,False positive,NA,Passing nullable to unannotated code
jsoup,Experimental,HtmlTreeBuilderState,anyOtherEndTag,811,False positive,NA,Passing nullable to unannotated code
jsoup,Experimental,HtmlTreeBuilderState,anyOtherEndTag,812,False positive,NA,Passing nullable to unannotated code
jsoup,Experimental,HtmlTreeBuilderState,anyOtherEndTag,813,False positive,NA,Passing nullable to unannotated code
jsoup,Experimental,HtmlTreeBuilderState,anyOtherEndTag,815,False positive,NA,Passing nullable to unannotated code
jsoup,Experimental,HtmlTreeBuilderState,process,1059,False positive,NA,Nullable variable checked to be non-null
jsoup,Experimental,HtmlTreeBuilderState,process,1495,False positive,NA,Nullable variable checked to be non-null
jsoup,Experimental,HtmlTreeBuilderState,process,1793,False positive,NA,Nullable variable checked to be non-null
jsoup,Experimental,HtmlTreeBuilderState,process,1795,Uncertain,NA,Unsafe null assignment
jsoup,Experimental,Token,newAttribute,160,False positive,IDE,Null assignment to unannotated variable
jsoup,Experimental,Token,trackAttributeRange,178,False positive,NA,Nullable variable checked to be non-null
jsoup,Experimental,Token,normalName,218,False positive,NA,Nullable variable checked to be non-null
jsoup,Experimental,Token,toString,323,False positive,NA,Nullable variable checked to be non-null
jsoup,Experimental,Token,toString,468,False positive,NA,Nullable variable checked to be non-null
jsoup,Experimental,TokenData,append,28,False positive,NA,Ignored assert statement
jsoup,Experimental,TokenData,append,39,False positive,NA,Ignored assert statement
jsoup,Experimental,TokenData,appendCodePoint,50,False positive,NA,Ignored assert statement
jsoup,Experimental,Tokeniser,reader,75,False positive,NA,Ignored assert statement
jsoup,Experimental,TreeBuilder,parser,23,False positive,Both,Late-init non-null field
jsoup,Experimental,TreeBuilder,reader,24,False positive,Both,Late-init non-null field
jsoup,Experimental,TreeBuilder,tokeniser,25,False positive,Both,Late-init non-null field
jsoup,Experimental,TreeBuilder,doc,26,False positive,Both,Late-init non-null field
jsoup,Experimental,TreeBuilder,stack,27,False positive,Both,Late-init non-null field
jsoup,Experimental,TreeBuilder,baseUri,28,False positive,Both,Late-init non-null field
jsoup,Experimental,TreeBuilder,currentToken,29,False positive,Both,Late-init non-null field
jsoup,Experimental,TreeBuilder,settings,30,False positive,Both,Late-init non-null field
jsoup,Experimental,TreeBuilder,tagSet,31,False positive,Both,Late-init non-null field
jsoup,Experimental,TreeBuilder,start,34,False positive,Both,Late-init non-null field
jsoup,Experimental,TreeBuilder,completeParse,66,False positive,Both,Null assignment to unannotated variable
jsoup,Experimental,TreeBuilder,completeParse,67,False positive,Both,Null assignment to unannotated variable
jsoup,Experimental,TreeBuilder,completeParse,68,False positive,Both,Null assignment to unannotated variable
jsoup,Experimental,TreeBuilder,stepParser,113,False positive,IDE,Null assignment to unannotated variable
jsoup,Experimental,TreeBuilder,error,243,False positive,NA,Passing nullable to unannotated code
log4j-core,Baseline,AbstractLogEvent,getContextData,46,Uncertain,IDE,Null return from null-marked method
log4j-core,Baseline,AbstractLogEvent,getLevel,56,Uncertain,IDE,Null return from null-marked method
log4j-core,Baseline,AbstractLogEvent,getLoggerFqcn,61,Uncertain,IDE,Null return from null-marked method
log4j-core,Baseline,AbstractLogEvent,getLoggerName,65,Uncertain,IDE,Null return from null-marked method
log4j-core,Baseline,AbstractLogEvent,getMarker,70,Uncertain,IDE,Null return from null-marked method
log4j-core,Baseline,AbstractLogEvent,getMessage,75,Uncertain,IDE,Null return from null-marked method
log4j-core,Baseline,AbstractLogEvent,getSource,80,Uncertain,IDE,Null return from null-marked method
log4j-core,Baseline,AbstractLogEvent,peekSource,86,Uncertain,IDE,Null return from null-marked method
log4j-core,Baseline,AbstractLogEvent,getThreadName,96,Uncertain,IDE,Null return from null-marked method
log4j-core,Baseline,AbstractLogEvent,getThrown,106,Uncertain,IDE,Null return from null-marked method
log4j-core,Baseline,ContextDataFactory,createDefaultConstructor,73,False positive,IDE,Null return from unannotated method
